epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8743,4.33819,4.16326,4.22843,0.001,0.07018,0.00196,0.00059,4.50977,4.41557,4.15943,0.00028,0.00028,0.00028
2,120.382,4.3511,3.98919,4.15258,0.00112,0.07895,0.0011,0.00043,4.49813,4.39147,4.15345,0.000574258,0.000574258,0.000574258
3,201.48,4.19539,3.8814,4.01383,0.00108,0.07895,0.00093,0.0004,4.49155,4.29618,4.17401,0.000862576,0.000862576,0.000862576
4,266.379,3.85359,3.62268,3.78768,0.00114,0.08333,0.00099,0.00042,4.58856,4.27291,4.29191,0.00114495,0.00114495,0.00114495
5,320.712,3.54671,3.57193,3.57505,0.00098,0.06579,0.00128,0.00053,4.75901,4.71553,4.46306,0.00142139,0.00142139,0.00142139
6,371.661,3.48213,3.50507,3.36724,0.00166,0.06579,0.00156,0.00077,4.82845,4.49485,4.66824,0.00169189,0.00169189,0.00169189
7,421.452,3.42127,3.41904,3.25189,0.00211,0.15789,0.00154,0.00052,4.35966,4.17039,3.92424,0.0018812,0.0018812,0.0018812
8,471.002,3.37682,3.40597,3.08357,0.00234,0.17105,0.00169,0.00059,4.10665,4.21678,3.88758,0.0018614,0.0018614,0.0018614
9,520.673,3.31419,3.35578,3.02817,0.01311,0.02193,0.00498,0.0015,3.56661,3.74371,3.45434,0.0018416,0.0018416,0.0018416
10,570.452,3.24438,3.25444,2.97519,0.06591,0.03509,0.01124,0.00309,3.37948,3.54593,3.24268,0.0018218,0.0018218,0.0018218
11,620.446,3.29964,3.21285,2.91027,0.00253,0.0307,0.00132,0.00039,3.72481,156.874,4.69129,0.001802,0.001802,0.001802
12,670.507,3.14025,3.17673,2.87539,0.01453,0.11842,0.00563,0.00163,3.44805,10.0375,3.98402,0.0017822,0.0017822,0.0017822
